experiment_id	val_mse	training_seconds	total_seconds	peak_vram_mb	num_steps	num_params_M	description
exp01	0.067078	905.0	458.6	76	87.5	lr=1e-3 (3x baseline), frozen backbone, concat head
exp02	0.067650	901.6	458.6	80	87.5	cosine LR 1e-3->0 T_max=80 (worse, revert)
exp03	0.064805	908.5	458.6	82	87.5	lr=1e-3 no scheduler, val=avg(last 10 losses) - new best
exp04	0.070114	904.5	458.6	81	87.5	lr=3e-3 too aggressive, spikes to 0.079 at step 50 (revert)
exp05	0.066247	901.1	458.6	83	87.5	lr=1e-3 + grad clip norm=1.0 (no improvement, revert)
exp06	0.063067	903.7	450.0	83	87.0	shallower head 1536->256->36 no LN - NEW BEST
exp07	0.062660	911.0	447.7	81	86.8	head 1536->128->36 - marginal improvement
exp08	0.066947	909.2	445.8	81	86.7	head 1536->64->36 too small, underfitting (revert)
exp09	0.068869	913.8	445.7	82	86.7	Hadamard fusion worse, unstable (revert to concat)
exp10	0.067551	910.1	448.4	83	86.8	L2-norm features hurt (step1=0.107), revert
exp11	0.068082	905.0	447.7	82	86.8	wd=0 worse, WD helps tame noisy gradients (revert wd=1e-4)
